      subject           activity tBodyAccmeanX tBodyAccmeanY tBodyAccmeanZ tGravityAccmeanX tGravityAccmeanY tGravityAccmeanZ tBodyAccJerkmeanX tBodyAccJerkmeanY tBodyAccJerkmeanZ tBodyGyromeanX
1           1           STANDING   0.288584510 -2.029417e-02 -1.329051e-01       0.96339614    -1.408397e-01     1.153749e-01      7.799634e-02      5.000803e-03     -6.783081e-02  -6.100849e-03
2           1           STANDING   0.278418830 -1.641057e-02 -1.235202e-01       0.96656113    -1.415513e-01     1.093788e-01      7.400671e-02      5.771104e-03      2.937663e-02  -1.611162e-02
3           1           STANDING   0.279653060 -1.946716e-02 -1.134617e-01       0.96687810    -1.420098e-01     1.018839e-01      7.363596e-02      3.104037e-03     -9.045631e-03  -3.169829e-02
4           1           STANDING   0.279173940 -2.620065e-02 -1.232826e-01       0.96761519    -1.439765e-01     9.985014e-02      7.732061e-02      2.005764e-02     -9.864772e-03  -4.340998e-02
5           1           STANDING   0.276628770 -1.656965e-02 -1.153619e-01       0.96822440    -1.487502e-01     9.448590e-02      7.344436e-02      1.912157e-02      1.677998e-02  -3.396042e-02
6           1           STANDING   0.277198770 -1.009785e-02 -1.051373e-01       0.96794820    -1.482100e-01     9.190972e-02      7.793244e-02      1.868405e-02      9.344434e-03  -2.877551e-02
7           1           STANDING   0.279453880 -1.964078e-02 -1.100221e-01       0.96792950    -1.442821e-01     9.314463e-02      8.217077e-02     -1.701467e-02     -1.579817e-02  -2.860025e-02
8           1           STANDING   0.277432470 -3.048830e-02 -1.253604e-01       0.96849148    -1.467054e-01     9.170816e-02      7.236423e-02      8.747856e-03     -4.468135e-03  -2.420026e-02
9           1           STANDING   0.277293420 -2.175070e-02 -1.207508e-01       0.96848115    -1.543740e-01     8.511826e-02      7.528437e-02      3.076270e-02      1.121195e-02  -2.483102e-02
10          1           STANDING   0.280585690 -9.960298e-03 -1.060652e-01       0.96841804    -1.563020e-01     8.087447e-02      7.636932e-02      1.251891e-02      3.084375e-03  -2.341540e-02
11          1           STANDING   0.276880270 -1.272180e-02 -1.034383e-01       0.96920266    -1.523614e-01     8.125808e-02      7.139686e-02      1.684244e-02      1.030382e-03  -2.470825e-02
12          1           STANDING   0.276228170 -2.144130e-02 -1.082023e-01       0.96925328    -1.500638e-01     8.293121e-02      7.608451e-02     -2.311558e-03     -7.673630e-03  -3.117316e-02
13          1           STANDING   0.278457000 -2.041476e-02 -1.127317e-01       0.96899630    -1.523621e-01     8.315080e-02      7.710200e-02      1.702717e-02     -9.852394e-04  -2.916861e-02
14          1           STANDING   0.277174970 -1.471280e-02 -1.067565e-01       0.96904398    -1.541413e-01     8.181960e-02      7.761238e-02      1.948922e-02      1.520768e-02  -2.708709e-02
15          1           STANDING   0.297945720  2.709391e-02 -6.166812e-02       0.94489486    -2.926233e-01    -2.143552e-02      6.665616e-02     -6.836708e-02     -3.360760e-02  -1.054820e-02
16          1           STANDING   0.279203450 -2.302014e-02 -1.220803e-01       0.95201342    -2.631170e-01    -3.576163e-03      7.465931e-02     -1.281086e-03     -2.663667e-02  -1.581086e-02
17          1           STANDING   0.279038360 -1.480038e-02 -1.168490e-01       0.95272437    -2.650915e-01    -7.708992e-03      7.671159e-02      1.225187e-02      1.005733e-02  -1.340682e-02
18          1           STANDING   0.280134900 -1.391695e-02 -1.063705e-01       0.95306401    -2.647182e-01    -1.155670e-02      7.525447e-02      1.541953e-02      1.662595e-02  -1.272510e-02
19          1           STANDING   0.277731060 -1.821072e-02 -1.091880e-01       0.95360569    -2.630577e-01    -1.109439e-02      7.502136e-02      4.210314e-03     -5.104832e-03  -2.464236e-02
20          1           STANDING   0.275568180 -1.697970e-02 -1.114292e-01       0.95359464    -2.634900e-01    -1.142585e-02      7.611338e-02      1.842771e-02     -6.048213e-03  -2.946191e-02
21          1           STANDING   0.277561710 -1.431849e-02 -1.078772e-01       0.95313551    -2.634369e-01    -1.245868e-02      7.534227e-02      1.805572e-02     -4.971829e-03  -2.981493e-02
22          1           STANDING   0.277152380 -1.798333e-02 -1.066012e-01       0.95318325    -2.618964e-01    -1.201561e-02      7.341354e-02      4.524599e-03     -5.894406e-03  -2.917889e-02
23          1           STANDING   0.275676300 -2.126423e-02 -1.108012e-01       0.95309294    -2.624586e-01    -1.151217e-02      7.694369e-02      5.482978e-03      1.602082e-03  -2.815370e-02
24          1           STANDING   0.279200200 -1.771443e-02 -1.091614e-01       0.95273161    -2.650070e-01    -1.270351e-02      7.864269e-02      1.650334e-02     -4.851520e-05  -2.722094e-02
25          1           STANDING   0.281715490 -1.191068e-02 -1.028751e-01       0.95321880    -2.650432e-01    -1.312642e-02      7.492498e-02      9.953907e-03      6.878857e-04  -2.496070e-02
26          1           STANDING   0.278992670 -1.453103e-02 -1.065962e-01       0.95419361    -2.619432e-01    -1.118079e-02      7.421949e-02      4.487238e-03      6.929346e-03  -2.737274e-02
27          1           STANDING   0.275734440 -1.801884e-02 -1.067758e-01       0.95458893    -2.604993e-01    -9.959401e-03      7.346097e-02      1.837229e-02      1.436324e-03  -3.052962e-02
28          1            SITTING   0.144503960  1.892633e-01  6.276932e-02       0.87409866     4.247915e-02     3.330945e-01      1.380576e-01     -3.477710e-01     -3.352723e-01  -4.648967e-02
